family,value,run,benchmark,d4,d5,d6,d7,d8,checkpoint
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,xbd_disaster_aerial,0.289750,0.357750,0.519750,0.680500,0.749000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,masa_aerial,0.340000,0.360000,0.460000,0.520000,0.420000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,mmgag_aerial,0.391489,0.417021,0.519149,0.514894,0.463830,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,mmgag_ground,0.382979,0.429787,0.544681,0.510638,0.459574,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,mmgag_text,0.434043,0.425532,0.489362,0.493617,0.421277,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,swissview100_aerial,0.436000,0.524000,0.590000,0.600000,0.430000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,swissviewmonuments_aerial,0.384000,0.436111,0.523333,0.561111,0.416667,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,swissviewmonuments_ground,0.400000,0.488889,0.590000,0.600000,0.466667,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,xbd_pre_aerial,0.375750,0.437000,0.549750,0.555500,0.431500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.300,gate_floor_dense_0p3_seed321_t480k,xbd_disaster_aerial,0.378250,0.439000,0.533500,0.563500,0.450500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p3_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.400,gate_floor_dense_0p4_seed321_t480k,masa_aerial,0.340000,0.260000,0.620000,0.820000,0.840000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p4_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.400,gate_floor_dense_0p4_seed321_t480k,mmgag_aerial,0.289362,0.404255,0.608511,0.812766,0.834043,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p4_seed321_t480k/geoexplorer.pt
