role,case_id,method_key,distance,success,path_length,final_distance,sum_external,sum_intrinsic_raw,sum_intrinsic_gated,sum_pbrs,sum_total,mean_gate,first_gate,last_gate
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g1_p1_e1_v0,4,False,10,4,-10.0,0.6607618927955605,0.645806029587982,0.048124999999999966,-9.306068970412019,0.985125,1.0,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g1_p1_e1_v0,6,True,8,0,7.0,-0.12495958805084406,-0.10300049796700596,0.09424999999999999,6.991249502032995,0.6777083333333334,0.9008333333333334,0.405
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g1_p1_e1_v0,6,False,10,4,-4.0,2.833867371082304,2.4144696469108244,0.06437499999999997,-1.521155353089176,0.8512500000000001,0.9008333333333334,0.8016666666666666
c8_anchor_success,img000_d8_s24_g00_r0,g1_p1_e1_v0,8,False,10,6,2.0,4.244416058063506,3.2269697813317166,0.06437499999999997,5.291344781331716,0.7396875,0.925625,0.8512500000000001
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g1_p1_e1_v0,8,False,10,4,4.0,2.982546389102934,2.0629685588553532,0.08237499999999998,6.145343558855353,0.6801875000000001,0.925625,0.7025
three_method_hardcase,img189_d6_s20_g14_r0,g1_p1_e1_v0,6,False,10,4,0.0,4.395069181919097,3.2270044515033547,0.05387499999999998,3.280879451503354,0.73225,0.9008333333333334,0.8016666666666666
c4_anchor_success,img011_d4_s03_g11_r0,g0_p1_e1_v1,4,True,4,0,5.0,0.5053328275680533,0.5053328275680533,0.055249999999999994,5.560582827568053,1.0,1.0,1.0
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g0_p1_e1_v1,4,False,10,2,-6.0,0.3940266370773293,0.3940266370773293,0.07137499999999997,-5.534598362922671,1.0,1.0,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g0_p1_e1_v1,6,True,10,0,5.0,-0.12069106101989968,-0.12069106101989968,0.09687499999999998,4.9761839389801015,1.0,1.0,1.0
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g0_p1_e1_v1,6,False,10,6,-4.0,2.7413237094879133,2.7413237094879133,0.042874999999999976,-1.2158012905120865,1.0,1.0,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g0_p1_e1_v1,8,False,10,2,4.0,4.72162902355194,4.72162902355194,0.10562499999999998,8.82725402355194,1.0,1.0,1.0
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g0_p1_e1_v1,8,False,10,2,4.0,2.2393521666526772,2.2393521666526772,0.10387499999999997,6.343227166652678,1.0,1.0,1.0
three_method_hardcase,img189_d6_s20_g14_r0,g0_p1_e1_v1,6,False,10,2,0.0,5.258823037147521,5.258823037147521,0.07362499999999997,5.332448037147521,1.0,1.0,1.0
