route_index,method,method_cn,seed,episode,image_index,distance_bucket,success,initial_dist,final_dist,route_total_reward,step,prev_patch,cur_patch,action,prev_dist,next_dist,delta_dist,move_type,is_progress,is_regress,is_goal,is_near,reward_total,reward_ex,reward_ex_raw,reward_in_raw,reward_in_gated,gate_weight,finish_bonus,pbrs_bonus,reward_positive,reward_strong_positive
12,external_only,仅外在,123,10,1,C8,0,8.0,4.0,-8.0,2,9,14,down,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.17053914070129372,0.0,1.0,0.0,0.0,0,0
12,external_only,仅外在,123,10,1,C8,0,8.0,4.0,-8.0,3,14,19,down,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.46482932567596413,0.0,1.0,0.0,0.0,0,0
12,external_only,仅外在,123,10,1,C8,0,8.0,4.0,-8.0,4,19,24,down,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.508910536766052,0.0,1.0,0.0,0.0,0,0
12,external_only,仅外在,123,10,1,C8,0,8.0,4.0,-8.0,5,24,23,left,4.0,3.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.4756040573120115,0.0,1.0,0.0,0.0,0,0
12,external_only,仅外在,123,10,1,C8,0,8.0,4.0,-8.0,6,23,24,right,3.0,4.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.2458454370498655,0.0,1.0,0.0,0.0,0,0
12,external_only,仅外在,123,10,1,C8,0,8.0,4.0,-8.0,7,24,19,up,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.44028830528259255,0.0,1.0,0.0,0.0,0,0
12,external_only,仅外在,123,10,1,C8,0,8.0,4.0,-8.0,8,19,18,left,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.4874764084815977,0.0,1.0,0.0,0.0,0,0
13,external_only,仅外在,123,10,5,C7,0,7.0,5.0,-8.0,1,3,2,left,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5213103890419004,0.0,1.0,0.0,0.0,0,0
13,external_only,仅外在,123,10,5,C7,0,7.0,5.0,-8.0,2,2,3,right,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.2463419437408445,0.0,1.0,0.0,0.0,0,0
13,external_only,仅外在,123,10,5,C7,0,7.0,5.0,-8.0,3,3,4,right,7.0,8.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.1843966245651243,0.0,1.0,0.0,0.0,0,0
13,external_only,仅外在,123,10,5,C7,0,7.0,5.0,-8.0,4,4,3,left,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.27429711818695046,0.0,1.0,0.0,0.0,0,0
13,external_only,仅外在,123,10,5,C7,0,7.0,5.0,-8.0,5,3,4,right,7.0,8.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.16739261150360085,0.0,1.0,0.0,0.0,0,0
13,external_only,仅外在,123,10,5,C7,0,7.0,5.0,-8.0,6,4,9,down,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.26218694448471047,0.0,1.0,0.0,0.0,0,0
13,external_only,仅外在,123,10,5,C7,0,7.0,5.0,-8.0,7,9,14,down,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.4913170337677,0.0,1.0,0.0,0.0,0,0
13,external_only,仅外在,123,10,5,C7,0,7.0,5.0,-8.0,8,14,13,left,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.6571016907691953,0.0,1.0,0.0,0.0,0,0
14,external_only,仅外在,123,10,7,C7,0,7.0,7.0,-8.0,1,23,24,right,7.0,8.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.6063945293426511,0.0,1.0,0.0,0.0,0,0
14,external_only,仅外在,123,10,7,C7,0,7.0,7.0,-8.0,2,24,19,up,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.065868020057678,0.0,1.0,0.0,0.0,0,0
14,external_only,仅外在,123,10,7,C7,0,7.0,7.0,-8.0,3,19,18,left,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.07602047920227029,0.0,1.0,0.0,0.0,0,0
14,external_only,仅外在,123,10,7,C7,0,7.0,7.0,-8.0,4,18,23,down,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.09262990951538064,0.0,1.0,0.0,0.0,0,0
14,external_only,仅外在,123,10,7,C7,0,7.0,7.0,-8.0,5,23,24,right,7.0,8.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.05518895387649514,0.0,1.0,0.0,0.0,0,0
14,external_only,仅外在,123,10,7,C7,0,7.0,7.0,-8.0,6,24,23,left,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.06003272533416726,0.0,1.0,0.0,0.0,0,0
14,external_only,仅外在,123,10,7,C7,0,7.0,7.0,-8.0,7,23,18,up,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.05187791585922219,0.0,1.0,0.0,0.0,0,0
14,external_only,仅外在,123,10,7,C7,0,7.0,7.0,-8.0,8,18,23,down,6.0,7.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.07832777500152566,0.0,1.0,0.0,0.0,0,0
15,external_only,仅外在,123,10,8,C6,0,6.0,4.0,-6.0,1,24,23,left,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5679277777671812,0.0,1.0,0.0,0.0,0,0
15,external_only,仅外在,123,10,8,C6,0,6.0,4.0,-6.0,2,23,18,up,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.7763261795043943,0.0,1.0,0.0,0.0,0,0
15,external_only,仅外在,123,10,8,C6,0,6.0,4.0,-6.0,3,18,19,right,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.7293103337287901,0.0,1.0,0.0,0.0,0,0
15,external_only,仅外在,123,10,8,C6,0,6.0,4.0,-6.0,4,19,24,down,5.0,6.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.5366699099540708,0.0,1.0,0.0,0.0,0,0
15,external_only,仅外在,123,10,8,C6,0,6.0,4.0,-6.0,5,24,19,up,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.4915724396705625,0.0,1.0,0.0,0.0,0,0
